timestamp,temp_analog,hum_digital,temp_digital
1594213700,19.49,36,22.8
1594213703,19.4,36,22.8
1594213705,19.49,36,22.8
1594213708,19.4,36,22.8
1594213711,19.4,36,22.9
1594213713,19.49,36,22.8
1594213716,19.49,36,22.8
1594213718,19.49,36,22.8
1594213721,19.58,36,22.8
1594213723,19.58,36,22.8
1594213726,19.49,36,22.8
1594213729,19.49,36,22.8
1594213731,19.49,36,22.9
1594213734,19.49,36,22.8
1594213737,19.49,36,22.8
